"DOTA_Tooltip_ability_Advanced_laser_note_lv5"				"[Преломление +]Добавить единицу к числу преломлений"
"DOTA_Tooltip_ability_Advanced_Static_Field_note_lv25_3"				"[Удар электрическим током] - [Переменный ток+] превращается в эффект области в 300 юнитов, и основная цель будет наэлектризована после получения удара током, привлекая юнитов в области 500 вокруг к своей собственной позиции в течение 0,2 секунды. (но не может воздействовать на юнитов с сопротивлением эффектам больше 70)"


"DOTA_Tooltip_ability_Advanced_Arc_Lightning_note_lv5"			"[Заряд молнии+]Шанс срабатывания увеличен до 20%%"
"DOTA_Tooltip_ability_Advanced_Arc_Lightning_note_lv10"			"[Заряд молнии+]Бонусный урон от каждого удара током увеличен до 5%%"
"DOTA_Tooltip_ability_Advanced_Arc_Lightning_note_lv15"			"[Ограничение разрыва]Количество прыжков, которое можно увеличить на 5"
"DOTA_Tooltip_ability_Advanced_Arc_Lightning_note_lv20"			"[Магическая дуализация]Расход маны увеличен на 200%%, но дополнительно выберет самого дальнего юнита в радиусе 600 от цели для произнесения заклинания, а когда останется только один юнит, выпустит на основную цель (дополнительные цели не сработают поглощение заклинаний)"
"DOTA_Tooltip_ability_Advanced_Arc_Lightning_note_base_Info"    "основной урон:+6/Уровень<br/>Множитель интеллекта:+0.05/Уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Arc_Lightning_note_lv25_1"				"[Молниеотвод]Потерять эффект [Магическая дуализация], трансформироваться в наложение заклинаний на землю, создать громоотвод на 70 секунд, активировать эффект навыка на случайного врага в радиусе 700 каждую секунду (до 3 раз), увеличить интервал выброса цепной молнии на 1 секунду, громоотводы могут действовать как реле цепной молнии"
"DOTA_Tooltip_ability_Advanced_Arc_Lightning_note_lv25_2"				"[Высокоэнергетическая бомбардировка]Цепная молния может наносить полный урон врагам в радиусе 300 каждый раз, когда она отскакивает, но количество прыжков фиксировано и составляет 4."
"DOTA_Tooltip_ability_Advanced_Arc_Lightning_note_lv25_3"				"[Магнитный штормовой луч]Потерять все эффекты, превратить в пассивное умение, использованиять лучи каждые 2 секунды на случайные позиции противника в радиусе 1200 в течение 2 секунд, наносить цепной урон молнией врагам на пути каждые 0,5 секунды, ширина пути 100, начальная точка лучей будет следовать за вами"




"DOTA_Tooltip_ability_Advanced_Impetus_note_lv5"			"[Дальний удар+]Увеличение дальности атаки увеличено до 250"
"DOTA_Tooltip_ability_Advanced_Impetus_note_lv10"			"[Естественный удар+]Расчетный эффект увеличения расстояния при срабатывании увеличен до 600."
"DOTA_Tooltip_ability_Advanced_Impetus_note_lv15"			"[Яркий удар]После попадания есть шанс 5%% сделать коэффициент преобразования урона и коэффициент преобразования урона Интеллекта в пять раз эффективнее"
"DOTA_Tooltip_ability_Advanced_Impetus_note_lv20"			"[Привет плюс 1]Каждый раз, когда урон навыком срабатывает при попадании, есть 10%% шанс послать в цель дополнительный снаряд, который может нанести урон навыку, но не урон от атаки"
"DOTA_Tooltip_ability_Advanced_Impetus_note_base_Info"      "Коэффициент преобразования урона: +1/уровень<br/>Коэффициент преобразования урона интеллекта:+0,007%%/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Impetus_note_lv25_1"				"[Easy to Understand Reinforcement]No longer consumes mana. If the basic distance is less than 1000 at each settlement, it is calculated as 1000"
"DOTA_Tooltip_ability_Advanced_Impetus_note_lv25_2"				"[Natural God]The trigger probability of 'Amazing Strike' has been increased to 30%%, and your summoned unit's attack has a 10%% chance to inherit the spell effect (calculate the distance between the caster and the target)"
"DOTA_Tooltip_ability_Advanced_Impetus_note_lv25_3"				"[Relay Station]You can designate a friendly hero as a relay station. When you trigger this ability, you will launch the Impetus to this hero first, and then bounce to the enemy after hitting. The distance between you and the hero will be calculated as the reward distance, but at most 2000, and this hero will be damaged by 10%%"



"DOTA_Tooltip_ability_Advanced_Life_Drain_note_lv5"				"[Несколько+]Второстепенные цели появляются каждую 1 секунду"
"DOTA_Tooltip_ability_Advanced_Life_Drain_note_lv10"			"[Высасывание души+]Эффект уменьшения сопротивления магии увеличен на 15%%"
"DOTA_Tooltip_ability_Advanced_Life_Drain_note_lv15"			"[Сломанная душа]Умение все еще действует в течение 6 секунд после завершения произнесения."
"DOTA_Tooltip_ability_Advanced_Life_Drain_note_lv20"			"[Высасывание души++]На каждые 10%% улучшения навыка эффект сопротивления магии будет увеличиваться еще на 5%% (на исходной основе, линейно суммируется)"
"DOTA_Tooltip_ability_Advanced_Life_Drain_note_base_Info"       "Основной урон:+6/Уровень<br/>Множитель интеллекта: +0,04/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Life_Drain_note_lv25_1"				"[Relay Station]When cast this spell on your teammates, you will no longer consume your own health. The link will not be broken unless the target dies or you cast it again. In this case, you can trigger the 'Multiplicity' effect and the split interval is reduced to 0.6 seconds"
"DOTA_Tooltip_ability_Advanced_Life_Drain_note_lv25_2"				"[Telecommunication Base Station]Change to passive ability, which can automatically apply a 10 second spell effect to a random enemy within the casting range. SPell becomes unrefreshable and fixed for 5 seconds to cooldown down"
"DOTA_Tooltip_ability_Advanced_Life_Drain_note_lv25_3"				"[The Torrent of Life]Change into  point target ability, lose the 'Multiplicity' effect, summon an energy core and place it above the target, which can exert a 5-second life drain effect on passing targets. The same unit has a 10 second cooldown time, and can apply spell effect on 20 units at the same time"

"DOTA_Tooltip_ability_Advanced_Nether_Ward_note_lv5"				"[Энергия души Пустоты+]Наносимый урон увеличен до INT*8"
"DOTA_Tooltip_ability_Advanced_Nether_Ward_note_lv10"			"[Призрачная тишина+]Шанс срабатывания увеличен до 40%%"
"DOTA_Tooltip_ability_Advanced_Nether_Ward_note_lv15"			"[Увеличение]Здоровье Стража удваивается."
"DOTA_Tooltip_ability_Advanced_Nether_Ward_note_lv20"			"[Обратная энергия] Страж: Каждый раз, когда на него нападают, он будет возвращать магический урон интеллекта * 4"
"DOTA_Tooltip_ability_Advanced_Nether_Ward_note_base_Info"       "основной урон:+2/Уровень<br/>Множитель интеллекта:+0.03/Уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Nether_Ward_note_lv25_1"				"[Energy Purification]The main effect damage is increased by 2 times, and the damage caused by secondary effects is increased by 1 time. Every 2 seconds, a random enemy in the effect area will be attacked by 'Nether Energy', but the same enemy has 8 seconds to cool down"
"DOTA_Tooltip_ability_Advanced_Nether_Ward_note_lv25_2"				"[Relay Station]The casting of  any friendly units within the effect range has a 30%% chance to trigger the Ward's attack (affected by the probability event bonus, which requires a cooling time of more than 3 seconds), and the Ward can launch an attack against random enemies"
"DOTA_Tooltip_ability_Advanced_Nether_Ward_note_lv25_3"				"[Magic Devourer]When automatic casting is enabled, the summoned ward can absorb 50+5%% of the caster's current mana every second. When the absorbed mana reaches 1000, it can cause a ward attack effect on 5 random enemies within 1.5 times the effect range"


"DOTA_Tooltip_ability_Advanced_Nether_Blast_note_lv5"			"[Удар Пустоты++]Снижение сопротивления магии увеличено до 80%%."
"DOTA_Tooltip_ability_Advanced_Nether_Blast_note_lv10"			"[Экстаз+]Уменьшите сопротивление магии против врагов и увеличьте максимальное время накопления на 4."
"DOTA_Tooltip_ability_Advanced_Nether_Blast_note_lv15"			"[Разделить душу]После попадания навыка усиление навыка цели уменьшается на 3%%, а усиление навыка себя увеличивается на 1%%.Может складывать 5 стаков на врага и 25 стаков на себя.Время обновления каждого стака длится 10 секунд."
"DOTA_Tooltip_ability_Advanced_Nether_Blast_note_lv20"			"[Удар Пустоты+++]Снижение сопротивления магии увеличено до 120%%."
"DOTA_Tooltip_ability_Advanced_Nether_Blast_note_base_Info"     "Базовый урон: +10/уровень<br/>Множитель интеллекта: +0,15/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Nether_Blast_note_lv25_1"				"[Nether Explosion]The spell effect will be repeated 6 times, but the subsequent blasting will only cause damage to the enemy within the range of 200 on the edge, and each blasting will expand 150 distance outward"
"DOTA_Tooltip_ability_Advanced_Nether_Blast_note_lv25_2"				"[Annihilation of All]Become a channel ability, which can release Nether Blast on the specified target area at an interval of 2 seconds. Each trigger will increase the consumed mana by 50%% (linear), if mana is insufficient, it will be replaced by health until it is exhausted, but it will not cause suicide. At the same time, each release can reduce the interval of 0.05 seconds until 0.2 seconds"
"DOTA_Tooltip_ability_Advanced_Nether_Blast_note_lv25_3"				"[Netherworld Walker]Change to passive ability. When you generate a movement of more than 350 distance in 0.066 seconds, you can generate Nether Blast at two locations respectively, but there is a trigger interval of 0.3 seconds"



"DOTA_Tooltip_ability_Advanced_Black_Hole_note_lv5"				"[Непредсказуемая бездна+]Каждое очко интеллекта увеличивает область действия на 3"
"DOTA_Tooltip_ability_Advanced_Black_Hole_note_lv10"			"[Гигантская черная дыра+]Дополнительный эффект: после того, как дополнительный эффект усиления достигнет 1000, он нанесет тройной урон."
"DOTA_Tooltip_ability_Advanced_Black_Hole_note_lv15"			"[Задержка]Черная дыра действует в течение 3 секунд после применения, но не наносит урона."
"DOTA_Tooltip_ability_Advanced_Black_Hole_note_lv20"			"[Задержка+]Когда дополнительный юнитов, увеличенный [Непредсказуемой бездной], превышает 1000, каждые 50 юнитов будут увеличивать продолжительность задержки черной дыры на 0,2 секунды."
"DOTA_Tooltip_ability_Advanced_Black_Hole_note_base_Info"       "основной урон:+5/Уровень<br/>Множитель интеллекта:+0.05/Уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Black_Hole_note_lv25_1"				"[Wormhole]Gain a passive effect. When the game fails after all heroes die, ignore this result and respawn all heroes who are not in the countdown to respawn. (but if all heroes are in the counting down of respawn, you will still fail). Heroes respawned by this effect can be invincible for 20 seconds. Trigger only once"
"DOTA_Tooltip_ability_Advanced_Black_Hole_note_lv25_2"				"[Singularity]Passively generate a small black hole with a 350 effect range that follows you, which has a pulling effect but no control effect, there is only 20%% damage and it can cause damage to 10 units at most. The black hole will follow you with at least half your moving speed. The farther the distance is, the higher the moving speed is. if the distance between the you and the black hole exceeds 3000, the black hole will instantly move to your position"
"DOTA_Tooltip_ability_Advanced_Black_Hole_note_lv25_3"				"[Energy Exhausted]The channel time increase to 30 seconds. After the base time expires, (1500 + additional second *500 ) of mana can be consumed per second to continue casting spells"

"DOTA_Tooltip_ability_Advanced_Midnight_Pulse_note_lv5"				"[Гравитационное поле+]200 юнитов от центра теперь будет увеличена в пять раз."
"DOTA_Tooltip_ability_Advanced_Midnight_Pulse_note_lv10"			"[Темная материя+]Коэффициент урона увеличен до 2,5%%, до 170%% потребляемой маны"
"DOTA_Tooltip_ability_Advanced_Midnight_Pulse_note_lv15"			"[Гравитационное поле++]Добавляет дополнительные 40%% к фронту заклинаний пораженных юнитов (не улучшено) и увеличивает диапазон умений на 200"
"DOTA_Tooltip_ability_Advanced_Midnight_Pulse_note_lv20"			"[Улучшение эффекта]При этом пораженный юнит увеличен до 20, а урон увеличен на 25%%"
"DOTA_Tooltip_ability_Advanced_Midnight_Pulse_note_base_Info"       "Основной урон:+4/Уровень<br/>Множитель интеллекта:+0.04/Уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Midnight_Pulse_note_lv25_1"				"[Double Gravity]Create a Adavanced black hole with a half range of 2.5 seconds while cast this spell"
"DOTA_Tooltip_ability_Advanced_Midnight_Pulse_note_lv25_2"				"[Limit Break]Change to refreshable ability and reduce the cooldown time by 30%%"
"DOTA_Tooltip_ability_Advanced_Midnight_Pulse_note_lv25_3"				"[Singularity Creation]Casting any spell with a cooldown greater than 5 seconds can create a midnight pulse wither in the 500 range that lasts 1-3 seconds."

"DOTA_Tooltip_ability_Advanced_Malefice_note_lv5"			"[Сингулярность+]Радиус действия черной дыры увеличен до 500, а продолжительность увеличена до 2 секунд."
"DOTA_Tooltip_ability_Advanced_Malefice_note_lv10"			"[Ложь+]Иллюзии наносят урон, увеличенный до 75%%"
"DOTA_Tooltip_ability_Advanced_Malefice_note_lv15"			"[Усиление]Делает эффект навыка нерассеиваемым и суммируемым, увеличивая продолжительность на 25%%"
"DOTA_Tooltip_ability_Advanced_Malefice_note_lv20"			"[Ложь++]Длительность иллюзии удвоена."
"DOTA_Tooltip_ability_Advanced_Malefice_note_base_Info"     "Длительность: +0,2/сек.<br/>основной урон:+4/Уровень<br/>Множитель интеллекта:+0.04/Уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Malefice_note_lv25_1"				"[True Singularity]The small black hole created can inherit 20%% of the damage of its own Advanced Black Hole, and the effect range is increased by 200"
"DOTA_Tooltip_ability_Advanced_Malefice_note_lv25_2"				"[Multiple Angiography]Only Enigma with talent 'Multiple Avatars' can unlock this effect, attributes bonus level increased from 3 to 10"
"DOTA_Tooltip_ability_Advanced_Malefice_note_lv25_3"				"[Ruin]You can generate a Advanced Black Hole with a range of 600 for 2 seconds and a Advanced Midnight Pulse for 6 seconds at the target location after casting the spell"

"DOTA_Tooltip_ability_Advanced_Macropyre_note_lv5"			"[Кость нежити+]За каждого врага в области урон от огня увеличивается на 5% (линейно), если противник погибает в огне, урон от умения, наносимого заклинателем в следующие 10 секунд, увеличивается на 7,5%%."
"DOTA_Tooltip_ability_Advanced_Macropyre_note_lv10"			"[Переход огня+]Увеличение продолжительности изменено на 0,75 секунды."
"DOTA_Tooltip_ability_Advanced_Macropyre_note_lv15"			"[Усиление]Каждое улучшение навыка на 10%% может увеличить продолжительность на 1 секунду (отрицательные числа не действуют)"
"DOTA_Tooltip_ability_Advanced_Macropyre_note_lv20"			"[Узурпатор]Можно включить состояние автокаста, в это время урон от огня будет действовать и на союзников, но урон будет увеличен на 75%%."
"DOTA_Tooltip_ability_Advanced_Macropyre_note_base_Info"    "основной урон:+2/Уровень<br/>Множитель интеллекта:+0.02/Уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Macropyre_note_lv25_1"				"[Double Sky·Fire]There is a 20%% chance to add a debuff of Advanced Liquid Fire to the target while causing damage, but it can only be triggered up to 6 times in a second"
"DOTA_Tooltip_ability_Advanced_Macropyre_note_lv25_2"				"[Double Sky·Frost]There is a 30%% chance to add a debuff of Advanced Liquid Frost to the target while causing damage, but it can only be triggered up to 6 times in a second"
"DOTA_Tooltip_ability_Advanced_Macropyre_note_lv25_3"				"[Song of Ice and Fire]The duration of the flame is increased to 18 seconds, and you can randomly obtain a stack of 'fire' / 'ice' reinforcement every second. Each stack of fire can increase the damage of the flame by 10%% and each stack of ice can reduce the magic resistance of the enemy in the flame by 5%%. Up to 20 stacks each"


"DOTA_Tooltip_ability_Advanced_Liquid_Frost_note_lv5"			"[Поток+]Вторичный эффект увеличен до 75%%"
"DOTA_Tooltip_ability_Advanced_Liquid_Frost_note_lv10"			"[Повышенная холодность+]Когда накопленное здоровье достигает 7%%, его можно взорвать, а время заморозки увеличивается до 1 секунды."
"DOTA_Tooltip_ability_Advanced_Liquid_Frost_note_lv15"			"[Усиление]Когда улучшение продолжительности отрицательного эффекта является положительным, продолжительность эффекта может быть увеличена (не влияет на [Повышенная холодность+])."
"DOTA_Tooltip_ability_Advanced_Liquid_Frost_note_lv20"			"[Коснуться и взорваться]Усиление холода не требует указанного значения урона, и его можно взорвать после получения первого урона после добавления состояния."
"DOTA_Tooltip_ability_Advanced_Liquid_Frost_note_base_Info"     "Замедленние движения:+2/Уровень<br/>Повышение урона:+0.5%%/Уровень<br/>Радиус: +4/Уровень<br/>Длительность: +0,1/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Liquid_Frost_note_lv25_1"				"[Цепной холод]Если [Повышенная холодность+] действует на врага, есть шанс 30%% добавить к нему слой жидкого льда/или обновить скилл, каждый раз, когда он срабатывает, он будет увеличивать время восстановления на 0,5 секунды, и он не сработает. когда оно больше 10. В то же время площадь действия «Повышенного холода» увеличивается на 100"
"DOTA_Tooltip_ability_Advanced_Liquid_Frost_note_lv25_2"				"[Выпуск печати]Больше не ограничивает затронутые цели, время восстановления уменьшено на 2 секунды (только дополнительное сокращение на 1 секунду при сосуществовании с талантом «Двухголовый дракон»)."
"DOTA_Tooltip_ability_Advanced_Liquid_Frost_note_lv25_3"				"[Вечный] Эффект [Поток+] теряется, но продолжительность эффекта становится постоянной, а эффект [Цепной холод] будет обновляться каждые 10 секунд."



"DOTA_Tooltip_ability_Advanced_Liquid_Fire_note_lv5"		    "【Sticky Flames】When negative duration amplification is greater than 0%%, burn durations are amplified by %explosion_nega_index%% of the negative duration amplification effect."
"DOTA_Tooltip_ability_Advanced_Liquid_Fire_note_lv10"			"【Living Bomb+】Increases the damage of Living Bomb by 40%% ."
"DOTA_Tooltip_ability_Advanced_Liquid_Fire_note_lv15"			"【Instant Ignition】Living Bomb no longer has a damage threshold to trigger, exploding immediately upon the first instance of damage received."
"DOTA_Tooltip_ability_Advanced_Liquid_Fire_note_lv20"			"【Burning Breath+】Increases the instant damage burns by 20%% ."
"DOTA_Tooltip_ability_Advanced_Liquid_Fire_note_base_Info"      "Attack Slow: +1/level<br/>Base Damage: +5/level<br/>Intellect Multiplier per Second: +0.04/level<br/>Duration: +0.1/level<br/>"
"DOTA_Tooltip_ability_Advanced_Liquid_Fire_note_lv25_1"				"【Chain Explosives】If 'Living Bomb' affects an enemy, there is a 30%% chance to apply a layer of Liquid Fire or refresh the status, adding 0.3 seconds to the cooldown each time, not triggering if over 3. Meanwhile, the 'Adhesive Explosives' area of effect is increased by 100."
"DOTA_Tooltip_ability_Advanced_Liquid_Fire_note_lv25_2"				"【Unsealed】No longer restricts the number of targets affected, reducing cooldown by 2 seconds (when combined with Dual Breath talent, only an additional 1 second is reduced)."
"DOTA_Tooltip_ability_Advanced_Liquid_Fire_note_lv25_3"				"【Eternal】Increases burn durations tenfold, and refreshes the 'Living Bomb' effect every 10 seconds."

"DOTA_Tooltip_ability_Advanced_Dual_Breath_note_lv5"			"[Очень жарко+]Коэффициент урона здоровью увеличен до 2,5%%"
"DOTA_Tooltip_ability_Advanced_Dual_Breath_note_lv10"			"[Очень холодно+]Дополнительный эффект замедления в секунду удваивается."
"DOTA_Tooltip_ability_Advanced_Dual_Breath_note_lv15"			"[Двойное небо из льда и пламени]Во время действия эффекта каждую секунду случайным образом срабатывает один из следующих двух эффектов:<br/>Лед: Заморозка на 0,5 секунды <br/>Огонь: Повышает эффект продолжительность на 0,5 секунды"
"DOTA_Tooltip_ability_Advanced_Dual_Breath_note_lv20"			"[Жидкость]При смерти юнита, если длительность эффекта не менее 2 секунд, оставшуюся длительность можно передать случайному юниту в радиусе 350 вокруг него. (не увеличивается и не уменьшается)"
"DOTA_Tooltip_ability_Advanced_Dual_Breath_note_base_Info"      "Урон в секунду:+3/Уровень<br/>Урон Множитель интеллекта:+0.02/Уровень<br/>Замедленние движения:+2/Уровень<br/>Замедление атаки: +1/Уровень<br/>Длительность: +0,1/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Dual_Breath_note_lv25_1"				"[Easy to Understand Reinforcement]The main debuff will not be dispelled and the minimum duration will be 12 seconds"
"DOTA_Tooltip_ability_Advanced_Dual_Breath_note_lv25_2"				"[The Breath of the Dragon King]You can turn on automatic casting. Every 100  INT can consume 800 additional mana when cating, and an additional Dual Breath can be released"
"DOTA_Tooltip_ability_Advanced_Dual_Breath_note_lv25_3"				"[Song of Ice and Fire]After the spell hits the target, there is a 50%% chance to attach a Advanced Liquid Fire / Ice to the enemy, and immediately trigger the explosion of liquid fire (not affected by the probability event bonus)"


"DOTA_Tooltip_ability_Advanced_enrage_note_lv5"				"[Душа предков+]Коэффициент усиления равен 5."
"DOTA_Tooltip_ability_Advanced_enrage_note_lv10"			"[Древняя поза+]Минимальное здоровье изменено на 35%% от максимального, дальность провокации увеличена до 700."
"DOTA_Tooltip_ability_Advanced_enrage_note_lv15"			"[Ярость]Вызывает землетрясение каждую секунду во время эффекта"
"DOTA_Tooltip_ability_Advanced_enrage_note_lv20"			"[Древняя поза++]Размер увеличивается, а сопротивление эффектам увеличивается до 200%% в течение продолжительности (даже если сопротивление эффектам уменьшается на 100%%, оно все еще невосприимчиво к большей части контроля)"
"DOTA_Tooltip_ability_Advanced_enrage_note_base_Info"       "Снижение урона:+0.5%%/Уровень<br/>Увеличение сопротивления эффектам: +0,5%%/уровень<br/>Длительность: +0,1%/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_enrage_note_lv25_1"				"[Manic] Casting any spell with a cooldown greater than 1 second can trigger a fury equal to 10% of spell cooldown, maximum of 3 seconds. "
"DOTA_Tooltip_ability_Advanced_enrage_note_lv25_2"				"[Rage of Bahamut]The duration of the buff is increased to 20 seconds (not increased by any gain) and the cooldown will enter after the buff ends. During this buff,you can't attack/move/cast/use items, but the trigger interval of 'Rage' is reduced to 0.3 seconds"
"DOTA_Tooltip_ability_Advanced_enrage_note_lv25_3"				"[Protect Cubs]Lose the min health effect of 'Ancient Pose'. Five friendly units in the surrounding 700 range will into enrage state, too. High priority to heroes."


"DOTA_Tooltip_ability_Advanced_rage_note_lv5"				"[Вурдалак+]Эффект восстановления увеличен до 15%%"
"DOTA_Tooltip_ability_Advanced_rage_note_lv10"			    "[Сумасшедший+]Требуемый урон изменен на 7%% от максимального здоровья."
"DOTA_Tooltip_ability_Advanced_rage_note_lv15"			    "[Собраться и атаковать]При его срабатывании союзники в радиусе 500 вокруг него также будут находиться в состоянии бешенства, а длительность составляет 50%%."
"DOTA_Tooltip_ability_Advanced_rage_note_lv20"			    "[Сумасшедший ++]Убийство юнитов также увеличивает время безумия на 0,5 секунды."
"DOTA_Tooltip_ability_Advanced_rage_note_base_Info"    "Бонус к скорости передвижения: +1%%/уровень<br/>Длительность:+0.2/Уровень<br/>"
"DOTA_Tooltip_ability_Advanced_rage_note_lv25_1"				"[Relatives of Blood]All units summoned by you can obtain spell effects, and can enter 5 seconds of rage every 10 seconds (Affected  by passive disable)"
"DOTA_Tooltip_ability_Advanced_rage_note_lv25_2"				"[Bullshit Man's Incompetence Rage]After cast the spell, you can gain 100 all attributes bonus, but will gradually reduce to 0 in 5 seconds. Each time you cast it, you will get 2 additional all attributes bonus next time, up to 300"
"DOTA_Tooltip_ability_Advanced_rage_note_lv25_3"				"[Ripper]'Advanced Summons Undead Jack the Ripper' will no longer remove the current summoned, and make them gain permanent rage buff (Affected  by passive disable)"

"DOTA_Tooltip_ability_Advanced_reincarnation_note_lv5"			"[Выживание души+]Длительность увеличена до 15 секунд."
"DOTA_Tooltip_ability_Advanced_reincarnation_note_lv10"			"[Высвобождение ауры+]Область действия увеличена до 900, длительность увеличена до 6 секунд."
"DOTA_Tooltip_ability_Advanced_reincarnation_note_lv15"			"[Поход души]Заставляет [Выживание души] игнорировать движение местности во время действия эффекта, а атака ослабляет сопротивление магии цели на 25%% и 10 единиц брони на 5 секунд, не зависит от сопротивления эффектам и улучшения продолжительности отрицательного эффекта, не может быть рассеянным"
"DOTA_Tooltip_ability_Advanced_reincarnation_note_lv20"			"[Плутон возвращается]Пока навык находится на перезарядке, он получит 30%% бонус к длительности положительного эффекта и бонус к длительности негативного эффекта."
"DOTA_Tooltip_ability_Advanced_reincarnation_note_base_Info"    "Множители ослабления всех атрибутов:-0.01/Уровень<br/>Длительность слабости:-0.2/Уровень<br/>"
"DOTA_Tooltip_ability_Advanced_reincarnation_note_lv25_1"				"[Battle Endurance Aura]The duration of 'Soul Survival' increase to 25 seconds and is effective for all friendly heroes"
"DOTA_Tooltip_ability_Advanced_reincarnation_note_lv25_2"				"[Spiritual Reunion]During 'Soul Survival', each killing of an enemy can restore the buff duration by 2 seconds, and add 5 temporary all attributes bonus. If the ability is in the cooldown time, it can also reduce the cooldown time by 2 seconds. The temporary all attribute can be accumulated to 300 at most"
"DOTA_Tooltip_ability_Advanced_reincarnation_note_lv25_3"				"[Overlord]Passively summon a huge skeleton to attach you. The skeleton can auto attack and cause 300%% physical damage to the enemy in front of you every second. And there is no longer weak time"


"DOTA_Tooltip_ability_Advanced_counterspell_note_lv5"			" [Spell Absorption +]effective within 2 seconds after resisting the spell (not affected by the positive status duration enhancement)"
"DOTA_Tooltip_ability_Advanced_counterspell_note_lv10"			" [Spell Absorption ++]Each time the block is triggered, regenerate %health_regen_percent% % of maximum health and reflect the skill."
"DOTA_Tooltip_ability_Advanced_counterspell_note_lv15"			" [Magic Reflection+] Magic damage inflicted on enemies will also be redirected to yourself (without reducing the damage received by enemies)."
"DOTA_Tooltip_ability_Advanced_counterspell_note_lv20"			" [Magic Reflection++] A portion of all attribute damage received by allies will be redirected to yourself in the form of magic damage."
"DOTA_Tooltip_ability_Advanced_counterspell_note_base_Info"     "Bonus Magic Resistance: +0.5%%/level<br/>"

"DOTA_Tooltip_ability_Advanced_counterspell_note_lv25_1"				"[Veto Shield]Lose 'Spell Rebound' effect, and the directional ability cast by enemy will no longer work on you"
"DOTA_Tooltip_ability_Advanced_counterspell_note_lv25_2"				"[Collapse]No longer block directional ability. When you are applied with directional abilitys with a cooldown time of more than 3 seconds by a friendly unit, it will produce a crushing effect, causing physical damage to three random enemies within the surrounding 1000 range, damage= (10%% of your maximum HP +20%% of the maximum mana value the friendly caster) and reducing enemies's armor by 5, independent superposition and  lasts for 20 seconds (only strong dispel). You can turn on auto casting, randomly remove a dispelable positive buff of you and double the damage"
"DOTA_Tooltip_ability_Advanced_counterspell_note_lv25_3"				"[Magic Rreverberation]Record the magic damage received. Every time you reach damage= 200%% of your maximum HP, you will cause physical damage of 100%% of your maximum HP to the enemies in the surrounding 600 range, and restore the mana of 10%% of your maximum HP. There is a fixed cooldown time of 0.5 seconds. Initially, only 50%% damage can be recorded, each trigger will increases this value by 1%% (linear), up to 200%% at most"


"DOTA_Tooltip_ability_Advanced_true_form_note_lv5"			"[Король леса+]Дальность действия увеличена до 1500, а бонус к здоровью увеличен до 15%%"
"DOTA_Tooltip_ability_Advanced_true_form_note_lv10"			"[Превосходство на поле боя+]Снижение урона увеличено до 22%%"
"DOTA_Tooltip_ability_Advanced_true_form_note_lv15"			"[Гигантский]Дополнительно на 30%% увеличена громкость, дальность атаки увеличена до 400, а сопротивление эффектам увеличено на 50%%."
"DOTA_Tooltip_ability_Advanced_true_form_note_lv20"			"[Король леса++]Увеличивает базовую силу атаки союзных героев на 20%% от базовой силы атаки"
"DOTA_Tooltip_ability_Advanced_true_form_note_base_Info"   "Повышение жизни:+60/Уровень<br/>Бонус к броне: +0,7/уровень<br/>Увеличение базового урона от атаки: +10/уровень<br/>Продолжительность трансформации: +0,5/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_true_form_note_lv25_1"				"[Multipeaked Mountains]During the duration of the buff, gain outgoing damage bonus according to your hero's volume (for example, the initial is 1, and after 20 stacks of Warpath is 1.6), and gain damage bonus of volume *40%%, but the maximum is 200%%"
"DOTA_Tooltip_ability_Advanced_true_form_note_lv25_2"				"[People in the Forest]Add passive ability to make your Summoner gain half of the spell base bonus (except Health), and the Summoner's HP will be increased by 20%%"
"DOTA_Tooltip_ability_Advanced_true_form_note_lv25_3"				"[Field]When casting, the area within 1000 of your location will be transformed into your field, you can increase the outgoing damage of yourself and your summon by 45%% in the field, and the duration of buff will not be consumed. But after stepping out of the field, the field will fail"


"DOTA_Tooltip_ability_Advanced_reactive_armor_note_lv5"				"[Адаптация урона+]Удваивайте количество стаков каждый раз"
"DOTA_Tooltip_ability_Advanced_reactive_armor_note_lv10"			"[Суперактивный+]Эффективное время увеличено до 8 секунд"
"DOTA_Tooltip_ability_Advanced_reactive_armor_note_lv15"			"[Летальная активность]Каждый раз, когда срабатывает основной эффект, он также будет наносить физический урон, равный текущей броне * 5, атакующему самому противнику (он не будет усиливаться усилением навыка, и не будет срабатывать заклинание кровососание, которое расценивается как анти - урон брони)"
"DOTA_Tooltip_ability_Advanced_reactive_armor_note_lv20"			"[Первоначальная сборка]Стаки основных эффектов всегда не менее 12."
